Solution,Bluefish-FD-XI-TD,Eman_5.40_fad_12,SugaR.AI.ICCF.1.00,ShashChess15.1,Bluefish-12-W,Crystal-2020-06-29,Bluefish-XI,CorChess v6,Houdidi_6.03_tac_1,Stockfish_2020-07-19, ShashChess 12.1,Stockfish_20121407,Eman 6.61,Stockfish_20062710,SugaR.AI.1.00,Stockfish 11,Honey-XI,Stockfish 10,Crystal 2020-05-02,Black-Diamond-XI,Black-Diamond-XR7,Black-Diamond-XI-r2,Crystal 1.1,Stockfish 9,McCain-v2,Houdidi_6.03_tac_def,Sting-SF-16,Sting-SF-20,Ethereal 12.25,Houdini 1.5 x64,Critter 1.6a 64bit,Stockfish 8,Xiphos 0.6,Ethereal 11.75,Stockfish 7,Bluefish-FD-XI-DC,Lc0 v0.26.3 s1,NumEngSolvedCount,MeanTimeSec
183) Ne3-g4      ,0.0,90.0,5.0,23.0,25.0,81.0,0.0,13.0,1280.0,4.0,8.0,218.0,83.0,564.0,154.0,393.0,87.0,244.0,5.0,1323.0,378.0,4.0,674.0,73.0,29.0,1691.0,,,524.0,378.0,,38.0,7.0,128.0,,7.0,10.0,32,267.0
206) Rf1-f6      ,5.0,22.0,5.0,35.0,69.0,45.0,97.0,318.0,37.0,121.0,432.0,78.0,83.0,42.0,31.0,1154.0,982.0,,40.0,60.0,5.0,90.0,73.0,917.0,984.0,614.0,,,545.0,914.0,574.0,837.0,303.0,225.0,,1.0,0.0,32,304.0
 62) .. Qg5xg3   ,3.0,164.0,13.0,120.0,29.0,45.0,169.0,1243.0,110.0,,161.0,298.0,742.0,715.0,235.0,,634.0,970.0,18.0,29.0,113.0,89.0,103.0,1536.0,522.0,,613.0,142.0,749.0,77.0,27.0,308.0,100.0,,613.0,1.0,0.0,32,334.0
171) Qf3-f6      ,316.0,251.0,159.0,143.0,429.0,225.0,51.0,574.0,579.0,1610.0,1384.0,232.0,,,389.0,520.0,79.0,1046.0,19.0,265.0,124.0,60.0,124.0,654.0,128.0,377.0,166.0,1444.0,,1324.0,639.0,627.0,172.0,,1725.0,17.0,5.0,32,495.0
 30) Rf1xf6      ,0.0,10.0,209.0,6.0,15.0,7.0,8.0,5.0,13.0,101.0,11.0,22.0,6.0,35.0,13.0,2.0,7.0,3.0,9.0,64.0,4.0,17.0,0.0,17.0,10.0,17.0,,,,,,5.0,164.0,841.0,148.0,0.0,,31,57.0
 22) g2-g4       ,22.0,11.0,,3.0,9.0,33.0,7.0,11.0,108.0,16.0,2.0,7.0,7.0,8.0,66.0,6.0,6.0,10.0,3.0,13.0,15.0,14.0,11.0,108.0,15.0,99.0,,,546.0,,,24.0,303.0,879.0,4.0,161.0,,31,82.0
 55) Qd8-a8      ,2.0,13.0,1.0,0.0,36.0,3.0,95.0,43.0,0.0,83.0,0.0,930.0,1375.0,146.0,513.0,251.0,2.0,326.0,1.0,2.0,0.0,0.0,4.0,192.0,105.0,6.0,0.0,13.0,,0.0,1.0,,,,,0.0,10.0,31,134.0
202) e5-e6       ,13.0,19.0,3.0,57.0,3.0,34.0,10.0,184.0,24.0,2.0,84.0,48.0,62.0,18.0,182.0,29.0,26.0,588.0,37.0,17.0,29.0,240.0,73.0,703.0,5.0,57.0,,,919.0,511.0,,54.0,529.0,,,0.0,1.0,31,147.0
 72) g5-g6       ,1.0,49.0,242.0,190.0,641.0,4.0,111.0,15.0,150.0,168.0,72.0,114.0,349.0,23.0,60.0,225.0,57.0,43.0,3.0,4.0,14.0,7.0,4.0,118.0,132.0,1048.0,148.0,,,68.0,38.0,,,1101.0,,0.0,0.0,31,168.0
212) Qe3-d3      ,1.0,13.0,7.0,49.0,12.0,445.0,51.0,137.0,17.0,35.0,3.0,7.0,26.0,146.0,78.0,3.0,325.0,899.0,1009.0,,25.0,26.0,,18.0,200.0,191.0,9.0,168.0,79.0,496.0,1326.0,,,585.0,,0.0,0.0,31,206.0
